,0
Grand total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),51.84491571506251
American Indian or Alaska Native total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),42.69084033613445
Asian total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),55.32749307479224
Black or African American total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),41.6373170731708
Hispanic total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),47.71084639498428
Native Hawaiian or Other Pacific Islander total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),56.164999999999985
White total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),53.93028603477278
Race/ethnicity unknown total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),47.624289008455065
Two or more races total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),65.64594059405935
Nonresident alien total (GR2012  Bachelor's or equiv subcohort (4-yr institution) CALCULATED GRADUATION RATE),56.78440366972474
