State abbreviation (HD2016),2011,2012,2013,2014,2015,2016,2017
AK,20664.0,21970.29,20380.63,19572.47,20345.67,21515.71,21734.29
AL,18005.14,18945.47,19397.01,20107.17,20582.55,21044.88,21254.08
AR,18283.65,18862.38,19289.91,19670.29,20270.76,20727.53,21087.98
AZ,19916.98,20478.2,20755.02,20730.34,21165.53,21385.28,21718.31
CA,26875.92,27976.84,28130.32,28820.58,29637.12,30597.8,31483.67
CO,22677.71,23869.76,24291.19,24864.47,25577.9,26242.17,27110.38
CT,29826.2,31406.1,32595.98,33307.56,34113.05,34650.93,35490.36
DC,31674.09,35472.9,36210.66,36907.74,37812.55,38376.86,39864.2
DE,25194.4,26011.15,26809.59,27240.52,28039.58,28572.29,29407.16
FL,24090.34,25596.92,26244.04,27014.5,27171.58,27638.47,28151.9
GA,21101.61,21841.33,22673.84,23406.86,23789.42,24118.72,24707.1
HI,18683.74,19116.67,20462.79,21105.13,22353.46,23517.0,23867.6
IA,23386.96,25368.35,26123.43,26823.38,27376.09,28089.38,28930.79
ID,18701.63,19573.9,20184.59,21131.94,21550.96,21794.03,22208.28
IL,26231.0,27569.64,28361.83,29071.99,29506.1,30210.68,30869.5
IN,27858.23,30072.36,30837.66,31834.79,32580.65,33344.39,34003.76
KS,18029.59,18912.52,19435.57,20042.12,20753.41,21506.21,22217.32
KY,22552.05,23733.71,24335.32,24966.8,25524.31,26496.19,27465.71
LA,19413.62,20526.32,21693.53,22554.92,23448.3,24229.49,24443.03
MA,33558.48,35852.76,36892.37,37877.9,39005.97,40194.44,41681.8
MD,26016.91,27328.19,28040.4,28944.85,29762.79,30523.37,31402.93
ME,23871.84,25037.53,25578.17,25661.93,26128.31,26657.39,27541.46
MI,21601.21,23046.05,23798.92,24064.52,24776.13,25719.56,26239.48
MN,22695.3,24143.37,24412.46,24990.71,25373.77,26039.97,26521.12
MO,22472.11,23154.18,23341.04,23686.87,24277.2,24859.14,25579.64
MS,14672.2,15428.62,15802.4,16108.95,16389.3,16728.99,17300.76
MT,16451.77,17593.63,17844.06,18199.08,18787.23,19174.16,19999.13
NC,21549.72,22821.94,23590.47,24390.96,24941.7,25788.13,26151.6
ND,14134.57,14822.29,15487.46,15987.29,16221.01,16560.37,16911.5
NE,19140.21,20732.72,21079.59,21945.53,22623.62,23285.32,23701.5
NH,29684.47,30617.66,32124.35,32398.38,33126.84,33395.89,34284.87
NJ,27228.42,28011.56,28882.17,29576.2,30343.14,31009.4,31684.14
NM,16175.26,17176.07,17500.53,17642.66,17937.97,18370.22,18811.95
NV,21293.8,23051.56,23539.36,23612.84,23285.83,23697.1,24161.11
NY,26346.72,27590.76,28657.47,29376.32,30190.65,31109.59,32077.24
OH,24779.35,26350.86,27014.87,27383.62,27820.24,28446.81,29000.48
OK,17771.87,18927.92,19355.33,20002.19,20638.95,21445.2,21902.88
OR,24091.32,26040.67,27432.79,28202.88,28785.32,29790.51,30729.59
PA,30144.05,31133.05,32223.28,33212.41,34043.98,34986.88,35736.05
RI,33816.39,38117.3,39023.01,40001.64,41172.85,42070.57,43491.25
SC,23072.22,24480.29,24893.42,25355.95,25859.81,26556.36,27371.56
SD,17856.96,19113.38,19533.06,20413.02,21060.1,21600.2,22140.68
TN,24474.61,25621.62,26202.04,26696.44,27304.91,27854.73,28581.25
TX,19179.3,20401.83,21074.95,21558.82,22028.98,22634.52,23262.29
UT,20745.38,21745.37,22263.17,22400.29,22159.73,22776.99,23379.14
VA,25286.43,26456.56,27304.06,28127.05,28804.95,29560.34,30518.93
VT,29961.73,35076.21,36297.23,37947.62,39219.21,40407.43,41387.22
WA,22219.95,23635.92,23941.01,24902.59,25212.98,25383.11,25662.9
WI,23394.14,24282.29,24738.82,25760.45,26438.16,27031.43,27814.69
WV,19779.78,20205.26,20706.63,21163.07,22169.83,22563.01,23012.67
WY,11036.91,11702.88,12097.84,12453.23,12408.02,12891.0,13471.64
