,0
Grand total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),35.77715328467148
American Indian or Alaska Native total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),26.57330677290835
Asian total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),37.00870786516853
Black or African American total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),26.135752895752866
Hispanic total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),31.41236044657096
Native Hawaiian or Other Pacific Islander total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),27.996495327102803
White total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),37.708949704142
Race/ethnicity unknown total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),29.013256484149814
Two or more races total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),31.475034106412
Nonresident alien total (GR2012  Degree/certif-seeking students ( 2-yr institution) CALCULATED GRADUATION RATE),31.391727941176455
