Info,2011,2012,2013,2014,2015,2016
Grand Total,35.351138868479076,35.77715328467148,35.192014388489234,34.71391862955032,51.84491571506251,37.96910739191071
American Indian or Alaska Native total,24.338484546360895,26.57330677290835,26.337330754352035,24.629376257545236,42.69084033613445,28.674733475479712
Asian total,35.54807692307694,37.00870786516853,37.01794634597595,37.23706896551721,55.32749307479224,41.02837078651687
Black or African American total,26.151761942051667,26.135752895752866,26.295963442498056,24.582183472327483,41.6373170731708,26.95108128262489
Hispanic total,33.54768856447687,31.41236044657096,32.53699376947042,32.065632273079935,47.71084639498428,36.86465648854958
Native Hawaiian or Other Pacific Islander total,28.499079754601233,27.996495327102803,28.35726351351352,26.252347826086943,56.164999999999985,32.733169129720835
White total,37.66505934718103,37.708949704142,37.89126637554588,37.62036101083033,53.93028603477278,40.97395315826831
Race/ethnicity unknown total,29.316414904330294,29.013256484149814,30.095085066162536,29.284205518553723,47.624289008455065,33.50326492537309
Two or more races total,36.13613963039012,31.475034106412,26.877038626609455,27.575827482447313,65.64594059405935,30.712149532710253
Nonresident alien total,32.72142857142857,31.391727941176455,30.717477477477473,31.622614840989375,56.78440366972474,32.54693520140104
